,Charlestown,East_Boston,North_End,Allston_Brighton,Back_Bay,South_End,South_Boston,Roxbury,Jamaica_Plain,Dorchester_North,Roslindale,Dorchester_South,West_Roxbury,Mattapan,Hyde_Park
Charlestown,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
East_Boston,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
North_End,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Allston_Brighton,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Back_Bay,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
South_End,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
South_Boston,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Roxbury,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
Jamaica_Plain,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Dorchester_North,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Roslindale,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Dorchester_South,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
West_Roxbury,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Mattapan,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Hyde_Park,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
,,,,,,,,,,,,,,,
